title,type,address,assignee,annote,author,booktitle,chapter,day,dayfiled,edition,editor,howpublished,institution,journal,language,month,monthfiled,nationality,note,number,organization,pages,publisher,revision,school,series,rtitle, ,volume,year,yearfiled,url,custom1,custom2,custom3,custom4,custom5,isbn
Hargood2016,7,,,,"Hargood, Charlie and Hunt, Verity and Weal, Mark and Millard, David",,,,,,,,,,,,,,,,,,,,,,Patterns of sculptural hypertext in location based narratives,,,2016,,http://eprints.soton.ac.uk/390748/,bibtex,,,,,
Harris2004,7,,,,"Harris, Roger W.",,,,,,,,,,,,,,,,,,,,,,Information and communication technologies for poverty alleviation,,,2004,,http://ictlogy.net/bibliography/reports/projects.php?idp=1271,bibtex,,,,,
Janez2016,7,,,,"Jáñez, Álvaro and Rosales, Javier",,,,,,,,,Computers in Human Behavior,,,,,,,,121--130,,,,,Novices' need for exploration: Effects of goal specificity on hypertext navigation and comprehension,,60,2016,,http://www.sciencedirect.com/science/article/pii/S0747563216301169,bibtex,,,,,
Jipsen2006,7,,,,"Jipsen, Peter",,,,,,,,,Accessed via http://math. chapman. edu/∼ jipsen/asciencepad/asciencepad. html (7 January 2007),,,,,,,,,,,,,ASciencePad–a TiddlyWiki suitable for scientific notes,,,2006,,,bibtex,,,,,
Jipsen2006a,7,,,,"Jipsen, Peter",,,,,,,,,Accessed via http://math. chapman. edu/∼ jipsen/asciencepad/asciencepad. html (7 January 2007),,,,,,,,,,,,,ASciencePad–a TiddlyWiki suitable for scientific notes,,,2006,,,bibtex,,,,,
Jipsen2006b,7,,,,"Jipsen, Peter",,,,,,,,,Accessed via http://math. chapman. edu/∼ jipsen/asciencepad/asciencepad. html (7 January 2007),,,,,,,,,,,,,ASciencePad–a TiddlyWiki suitable for scientific notes,,,2006,,,bibtex,,,,,
Kennedy2009,7,,,,"Kennedy, Gregor and Dalgarno, Barney and Bennett, Sue and Gray, Kathleen and Waycott, Jenny and Judd, Terry and Bishop, Andrea and Maton, Karl and Krause, Kerri-Lee and Chang, Rosemary",,,,,,,,,,,,,,,,,,,,,,Educating the net generation. A handbook of findings for practice and policy,,,2009,,http://ictlogy.net/bibliography/reports/projects.php?idp=1450,bibtex,,,,,
Kopchok2008,7,,,,"Kopchok, Katie",,,,,,,,,"Journal of Interlibrary Loan, Document Delivery \& Electronic Reserve",,,,,,1,,67--77,,,,,Interlibrary loan the Wiki way: an effective and free interlibrary loan procedures and communications tool,,18,2008,,http://www.tandfonline.com/doi/abs/10.1300/J474v18n01_08,bibtex,,,,,
Kopchok2008a,7,,,,"Kopchok, Katie",,,,,,,,,"Journal of Interlibrary Loan, Document Delivery \& Electronic Reserve",,,,,,1,,67--77,,,,,Interlibrary loan the Wiki way: an effective and free interlibrary loan procedures and communications tool,,18,2008,,http://www.tandfonline.com/doi/abs/10.1300/J474v18n01_08,bibtex,,,,,
Kopchok2008b,7,,,,"Kopchok, Katie",,,,,,,,,"Journal of Interlibrary Loan, Document Delivery \& Electronic Reserve",,,,,,1,,67--77,,,,,Interlibrary loan the Wiki way: an effective and free interlibrary loan procedures and communications tool,,18,2008,,http://www.tandfonline.com/doi/abs/10.1300/J474v18n01_08,bibtex,,,,,
Lauw2008,10,,,,"Lauw, Madelaine L.",,,,,,,,"University of Leeds, School of Computer Studies",,,,,,,,,,,,"University of Leeds, School of Computer Studies",,TiddlyGraph: Graph Drawing Tool for TiddlyWiki,,,2008,,,bibtex,,,,,
Lauw2008a,10,,,,"Lauw, Madelaine L.",,,,,,,,"University of Leeds, School of Computer Studies",,,,,,,,,,,,"University of Leeds, School of Computer Studies",,TiddlyGraph: Graph Drawing Tool for TiddlyWiki,,,2008,,,bibtex,,,,,
Lauw2008b,10,,,,"Lauw, Madelaine L.",,,,,,,,"University of Leeds, School of Computer Studies",,,,,,,,,,,,"University of Leeds, School of Computer Studies",,TiddlyGraph: Graph Drawing Tool for TiddlyWiki,,,2008,,,bibtex,,,,,
Li2016,7,,,,"Li, Liang-Yi and Tseng, Shu-Ting and Chen, Gwo-Dong",,,,,,,,,Computers in Human Behavior,,,,,,,,318--325,,,,,"Effect of hypertext highlighting on browsing, reading, and navigational performance",,54,2016,,http://www.sciencedirect.com/science/article/pii/S074756321530090X,bibtex,,,,,
Maier2016,5,,,,"Maier, Carmen Daniela",International Encyclopedia of Mass Media and Society,,,,,,,,,,,,,,,,,: {SAGE} Publications,,,,Hypertext and Hypermedia,,,2016,,http://www.forskningsdatabasen.dk/en/catalog/2261443119,bibtex,,,,,
